ISIN NUMBER,NAME OF COMPANY,EXCHANGEID,SYMBOL,SERIES
INE405Y01021,NSE:GOLDSTAR,1,GOLDSTAR,SM
INE769A01020,NSE:AARTIIND,7,AARTIIND,EQ
INE421A01028,NSE:ABAN,10,ABAN,EQ
IN2220200140,NSE:56MH24,12,56MH24,SG
INE117A01022,NSE:ABB,13,ABB,EQ
IN1920200210,NSE:656KA30,14,656KA30,SG
IN2920200366,NSE:66RJ30,18,66RJ30,SG
INE189B01011,NSE:STYRENIX,19,STYRENIX,EQ
IN1420200124,NSE:66GA30A,20,66GA30A,SG
IN3320200089,NSE:664UP30,21,664UP30,SG
INE012A01025,NSE:ACC,22,ACC,EQ
IN4920200073,NSE:67JK30,23,67JK30,SG
INE423A01024,NSE:ADANIENT,25,ADANIENT,EQ
IN1620200098,NSE:67HR30,26,67HR30,SG
INE224E01036,NSE:GATECHDVR,27,GATECHDVR,BE
IN2220200157,NSE:667MH31,29,667MH31,SG
IN2120200158,NSE:679MP33,32,679MP33,SG
INE045A01017,NSE:ADORWELD,34,ADORWELD,EQ
IN1920200228,NSE:677KA34,35,677KA34,SG
IN1020200359,NSE:685AP36,38,685AP36,SG
INE208C01025,NSE:AEGISLOG,40,AEGISLOG,EQ
IN1020200367,NSE:687AP38,41,687AP38,SG
IN3420200104,NSE:677WB40,42,677WB40,SG
INE890C01046,NSE:SANWARIA,46,SANWARIA,BZ
INE419U01012,NSE:HAPPSTMNDS,48,HAPPSTMNDS,EQ
IN1220200043,NSE:605AS25,62,605AS25,SG
IN1320200059,NSE:57BR24,63,57BR24,SG
IN1520200149,NSE:663GJ29,65,663GJ29,SG
IN4520200168,NSE:684TS40,68,684TS40,SG
IN1920200236,NSE:665KA30,72,665KA30,SG
IN1920200244,NSE:675KA33,74,675KA33,SG
IN3620200037,NSE:667UK30,76,667UK30,SG
INE426A01027,NSE:ALEMBICLTD,79,ALEMBICLTD,EQ
IN2220200165,NSE:57MH24,80,57MH24,SG
INE351Y01019,NSE:BETA,81,BETA,SM
IN2420200031,NSE:67ML30,83,67ML30,SG
IN2620200039,NSE:67NL30,86,67NL30,SG
IN2920200374,NSE:667RJ30,87,667RJ30,SG
IN3220200015,NSE:67TR30,89,67TR30,SG
IN3320200097,NSE:668UP30,92,668UP30,SG
IN2120200166,NSE:676MP33,95,676MP33,SG
INE289S01013,NSE:CMMIPL,99,CMMIPL,ST
INE885A01032,NSE:ARE&M,100,ARE&M,EQ
INE932X01026,NSE:SHAREINDIA,104,SHAREINDIA,EQ
INE338Y01016,NSE:OMFURN,117,OMFURN,SM
INE450U01017,NSE:ROUTE,128,ROUTE,EQ
INE715B01021,NSE:ANDHRSUGAR,136,ANDHRSUGAR,EQ
INE008Z01020,NSE:SRPL,140,SRPL,EQ
INE850D01014,NSE:GODREJAGRO,144,GODREJAGRO,EQ
IN0020200195,NSE:SGBSEP28VI,149,SGBSEP28VI,GB
INE116A01032,NSE:APCOTEXIND,154,APCOTEXIND,EQ
IN2220200173,NSE:568MH24,155,568MH24,SG
INE437A01024,NSE:APOLLOHOSP,157,APOLLOHOSP,EQ
IN2220200181,NSE:67MH28,158,67MH28,SG
INE376Y01016,NSE:MILTON,159,MILTON,SM
IN3320200105,NSE:674UP30,161,674UP30,SG
INE438A01022,NSE:APOLLOTYRE,163,APOLLOTYRE,EQ
IN1220200050,NSE:68AS30,164,68AS30,SG
IN1420200132,NSE:674GA30,165,674GA30,SG
INE435A01028,NSE:ANDHRAPAP,166,ANDHRAPAP,EQ
IN1520200156,NSE:67GJ30,167,67GJ30,SG
IN1920200251,NSE:67KA30,170,67KA30,SG
IN2920200382,NSE:672RJ30,171,672RJ30,SG
IN3020200025,NSE:673SK30,173,673SK30,SG
IN3120200297,NSE:669TN30,179,669TN30,SG
IN1920200269,NSE:678KA32,182,678KA32,SG
INE822C01015,NSE:TCPLPACK,184,TCPLPACK,EQ
IN2220200199,NSE:678MH32,185,678MH32,SG
INE906B07DE1,NSE:850NHAI29,186,850NHAI29,N5
INE906B07DF8,NSE:875NHAI29,192,875NHAI29,N6
INE034A01011,NSE:ARVIND,193,ARVIND,EQ
INE348L01012,NSE:MASFIN,199,MASFIN,EQ
INE961D01019,NSE:UNIDT,201,UNIDT,EQ
INE348A01023,NSE:ASHAPURMIN,203,ASHAPURMIN,EQ
INF204K01XT0,NSE:NMFINQRAG1,210,NMFINQRAG1,MF
INE208A01029,NSE:ASHOKLEY,212,ASHOKLEY,EQ
INE022Q01020,NSE:IEX,220,IEX,EQ
INE021A01026,NSE:ASIANPAINT,236,ASIANPAINT,EQ
INE087Z01024,NSE:AAKASH,240,AAKASH,BE
INE0CHO01012,NSE:ADL,245,ADL,EQ
IN0020170059,NSE:SGBOCT25,250,SGBOCT25,GB
INE368I01016,NSE:NIRAJ,255,NIRAJ,EQ
INE100A01010,NSE:ATUL,263,ATUL,EQ
INE03YM01018,NSE:CHEMCON,270,CHEMCON,EQ
INE406A01037,NSE:AUROPHARMA,275,AUROPHARMA,EQ
INE481Y01014,NSE:GICRE,277,GICRE,EQ
INE449A01011,NSE:AUTOAXLES,278,AUTOAXLES,EQ
IN1020200375,NSE:575AP24,285,575AP24,SG
IN2020200209,NSE:579KL24,288,579KL24,SG
IN3820200027,NSE:69PY29,291,69PY29,SG
IN1220200068,NSE:69AS30A,294,69AS30A,SG
IN1520200164,NSE:683GJ30,297,683GJ30,SG
IN1920200277,NSE:685KA30,300,685KA30,SG
IN2920200408,NSE:685RJ30,302,685RJ30,SG
IN1420200140,NSE:689GA30,303,689GA30,SG
IN0020170067,NSE:SGBOCT25IV,304,SGBOCT25IV,GB
INE118A01012,NSE:BAJAJHLDNG,305,BAJAJHLDNG,EQ
IN2420200049,NSE:69ML30,306,69ML30,SG
IN3320200113,NSE:69UP30,307,69UP30,SG
INE306A01021,NSE:BAJAJHIND,308,BAJAJHIND,EQ
IN3620200045,NSE:69UK30A,309,69UK30A,SG
IN1920200285,NSE:697KA31,311,697KA31,SG
INE974X01010,NSE:TIINDIA,312,TIINDIA,EQ
IN2220200207,NSE:71MH32,313,71MH32,SG
IN4920200081,NSE:696JK35,314,696JK35,SG
IN3420200112,NSE:704WB35,315,704WB35,SG
IN2520200048,NSE:705MZ35,316,705MZ35,SG
INE296A01024,NSE:BAJFINANCE,317,BAJFINANCE,EQ
IN1020200383,NSE:70AP39,318,70AP39,SG
IN2820200110,NSE:695PN40,319,695PN40,SG
IN1620200106,NSE:705HR40,321,705HR40,SG
IN4520200176,NSE:694TS50,322,694TS50,SG
INE732I01013,NSE:ANGELONE,324,ANGELONE,EQ
INE565V01010,NSE:VALIANTORG,330,VALIANTORG,EQ
INE787D01026,NSE:BALKRISIND,335,BALKRISIND,EQ
INE164A01016,NSE:BALMLAWRIE,338,BALMLAWRIE,EQ
INE119A01028,NSE:BALRAMCHIN,341,BALRAMCHIN,EQ
INE596I01012,NSE:CAMS,342,CAMS,EQ
INE655B01011,NSE:BANARBEADS,347,BANARBEADS,EQ
INE459A01010,NSE:BANARISUG,350,BANARISUG,EQ
IN0020170075,NSE:SGBOCT25V,355,SGBOCT25V,GB
INE298J01013,NSE:NAM,357,NAM-INDIA,INDIA-EQ
INE294G01026,NSE:ROML,359,ROML,EQ
INE373A01013,NSE:BASF,368,BASF,EQ
INE176A01028,NSE:BATAINDIA,371,BATAINDIA,EQ
INE050A01025,NSE:BBTC,380,BBTC,EQ
INE129Z01016,NSE:SINTERCOM,381,SINTERCOM,EQ
INE263A01024,NSE:BEL,383,BEL,EQ
INE766P01016,NSE:MAHLOG,385,MAHLOG,EQ
INE258A01016,NSE:BEML,395,BEML,EQ
IN0020170083,NSE:SGBNOV25VI,398,SGBNOV25VI,GB
INE470Y01017,NSE:NIACL,399,NIACL,EQ
INE581X01021,NSE:GLOBE,400,GLOBE,BE
INE463A01038,NSE:BERGEPAINT,404,BERGEPAINT,EQ
IN2920200416,NSE:56RJ24,416,56RJ24,SG
IN1220200076,NSE:604AS25,418,604AS25,SG
INE922A01025,NSE:BEPL,419,BEPL,EQ
IN3120200305,NSE:672TN27,420,672TN27,SG
INE465A01025,NSE:BHARATFORG,422,BHARATFORG,EQ
IN3520200038,NSE:594CG25,423,594CG25,SG
INE834I01025,NSE:KHADIM,425,KHADIM,EQ
INE561C01019,NSE:BHARATGEAR,426,BHARATGEAR,EQ
IN2220200215,NSE:681MH28,427,681MH28,SG
IN3720200010,NSE:693JH30,428,693JH30,SG
IN2920200424,NSE:692RJ30,430,692RJ30,SG
IN1220200084,NSE:691AS30,431,691AS30,SG
INE133Y01011,NSE:IFGLEXPOR,436,IFGLEXPOR,EQ
IN2620200047,NSE:691NL30,437,691NL30,SG
INE257A01026,NSE:BHEL,438,BHEL,EQ
IN3320200121,NSE:691UP30A,439,691UP30A,SG
IN1420200157,NSE:69GA30A,440,69GA30A,SG
INE618L01018,NSE:5PAISA,445,5PAISA,EQ
IN1720200048,NSE:69HP30,446,69HP30,SG
IN2220200223,NSE:687MH30,448,687MH30,SG
IN1920200293,NSE:686KA30,449,686KA30,SG
IN1520200172,NSE:684GJ30,454,684GJ30,SG
IN4920200099,NSE:715JK32,457,715JK32,SG
IN0020170091,NSE:SGBNOV25,458,SGBNOV25,GB
IN2120200174,NSE:707MP32,460,707MP32,SG
IN2220200231,NSE:705MH32,466,705MH32,SG
INE795G01014,NSE:HDFCLIFE,467,HDFCLIFE,EQ
IN1920200301,NSE:708KA34,468,708KA34,SG
IN1020200391,NSE:71AP37,469,71AP37,SG
INE143A01010,NSE:OSWALGREEN,471,OSWALGREEN,EQ
IN3420200120,NSE:709WB40,472,709WB40,SG
INE470A01017,NSE:3MINDIA,474,3MINDIA,EQ
IN1020200409,NSE:703AP40,475,703AP40,SG
INE800A01015,NSE:BIRLACABLE,477,BIRLACABLE,EQ
INE340A01012,NSE:BIRLACORPN,480,BIRLACORPN,EQ
INE635Y01015,NSE:AISL,482,AISL,SM
INE520Y01019,NSE:ICEMAKE,489,ICEMAKE,EQ
INE233B01017,NSE:BLUEDART,495,BLUEDART,EQ
IN0020170109,NSE:SGBNOV258,497,SGBNOV258,GB
INE721A07NU1,NSE:903SFL28,498,903SFL28,YI
INE335X01014,NSE:PULZ,507,PULZ,SM
INE249Z01012,NSE:MAZDOCK,509,MAZDOCK,EQ
INE032A01023,NSE:BOMDYEING,513,BOMDYEING,EQ
INF109KB15Y7,NSE:ICICIB22,522,ICICIB22,EQ
INE029A01011,NSE:BPCL,526,BPCL,EQ
INE094J01016,NSE:UTIAMC,527,UTIAMC,EQ
IN0020170117,NSE:SGBNOV25IX,540,SGBNOV25IX,GB
INE216A01030,NSE:BRITANNIA,547,BRITANNIA,EQ
INE036A01016,NSE:RELINFRA,553,RELINFRA,EQ
INE594B01012,NSE:BSL,559,BSL,EQ
INE901X01013,NSE:FELIX,573,FELIX,SM
INE060901027,NSE:LIKHITHA,578,LIKHITHA,EQ
INE477A01020,NSE:CANFINHOME,583,CANFINHOME,EQ
IN1320200075,NSE:54BR24,587,54BR24,SG
IN2820200128,NSE:669PN30,590,669PN30,SG
INE053F07660,NSE:840IRFC29,591,840IRFC29,N8
INE371A01025,NSE:GRAPHITE,592,GRAPHITE,EQ
IN1920200319,NSE:661KA30,593,661KA30,SG
INE120A01034,NSE:CARBORUNIV,595,CARBORUNIV,EQ
IN2220200264,NSE:663MH30,596,663MH30,SG
IN2220200249,NSE:645MH27,599,645MH27,SG
INE053F07686,NSE:865IRFC29,603,865IRFC29,NA
IN2220200256,NSE:655MH28,605,655MH28,SG
IN2420200056,NSE:665ML30,609,665ML30,SG
IN2920200432,NSE:66RJ30A,611,66RJ30A,SG
IN3320200139,NSE:663UP30,614,663UP30,SG
IN3620200052,NSE:662UK30,617,662UK30,SG
IN1920200327,NSE:675KA33A,618,675KA33A,SG
INE485A01015,NSE:CENTENKA,619,CENTENKA,EQ
IN3420200138,NSE:699WB35,620,699WB35,SG
IN0020170125,NSE:SGBDEC25,623,SGBDEC25,GB
INE055A01016,NSE:CENTURYTEX,625,CENTURYTEX,EQ
IN1020200417,NSE:691AP39,626,691AP39,SG
INE486A01021,NSE:CESC,628,CESC,EQ
IN2120200182,NSE:691MP40,629,691MP40,SG
IN4520200184,NSE:694TS50A,630,694TS50A,SG
INE188B01013,NSE:IGARASHI,634,IGARASHI,EQ
INE085A01013,NSE:CHAMBLFERT,637,CHAMBLFERT,EQ
INE591Q01016,NSE:SUULD,643,SUULD,BE
INE016M01021,NSE:DNAMEDIA,645,DNAMEDIA,BE
INE403Y01018,NSE:INNOVANA,666,INNOVANA,SM
INE302A01020,NSE:EXIDEIND,676,EXIDEIND,EQ
INE121A01024,NSE:CHOLAFIN,685,CHOLAFIN,EQ
INE059A01026,NSE:CIPLA,694,CIPLA,EQ
INE0AJG01018,NSE:HEMIPROP,701,HEMIPROP,EQ
INE597J01018,NSE:SHALBY,714,SHALBY,EQ
INE492A01029,NSE:HEUBACHIND,715,HEUBACHIND,EQ
INE715Y01023,NSE:SHRADHA,716,SHRADHA,BE
INF200KA1S22,NSE:SBIETFPB,722,SBIETFPB,EQ
IN0020170133,NSE:SGBDEC25XI,729,SGBDEC25XI,GB
INE169A01031,NSE:COROMANDEL,739,COROMANDEL,EQ
INF200KA1S14,NSE:SBIETFIT,740,SBIETFIT,EQ
INE757A01017,NSE:COSMOFIRST,742,COSMOFIRST,EQ
IN1020200425,NSE:687AP35,746,687AP35,SG
IN1220200092,NSE:524AS24,752,524AS24,SG
IN1220200100,NSE:656AS30,754,656AS30,SG
IN1320200083,NSE:527BR24,755,527BR24,SG
INE007A01025,NSE:CRISIL,757,CRISIL,EQ
IN1920200335,NSE:651KA30,758,651KA30,SG
INE067A01029,NSE:CGPOWER,760,CGPOWER,EQ
IN3720200028,NSE:662JH30,761,662JH30,SG
IN2120200190,NSE:689MP40,767,689MP40,SG
INE016A01026,NSE:DABUR,772,DABUR,EQ
IN2220200272,NSE:647MH28,773,647MH28,SG
IN2220200280,NSE:656MH30,776,656MH30,SG
IN3320200147,NSE:654UP30,779,654UP30,SG
INE495A01022,NSE:DALMIASUG,781,DALMIASUG,EQ
IN1920200343,NSE:662KA32,782,662KA32,SG
IN0020170141,NSE:SGBDEC2512,795,SGBDEC2512,GB
INE705C01020,NSE:SHIVATEX,804,SHIVATEX,EQ
INE032Z01020,NSE:BSHSL,809,BSHSL,EQ
INE499A01024,NSE:DCMSHRIRAM,811,DCMSHRIRAM,EQ
INE500A01029,NSE:DCW,817,DCW,EQ
INE501A01019,NSE:DEEPAKFERT,827,DEEPAKFERT,EQ
INE862Y01015,NSE:BANKA,828,BANKA,BE
IN0020200203,NSE:SGBOC28VII,834,SGBOC28VII,GB
IN3520200046,NSE:538CG25,835,538CG25,SG
IN3820200035,NSE:575PY26,836,575PY26,SG
IN2920200440,NSE:61RJ27,837,61RJ27,SG
IN1720200071,NSE:645HP29,838,645HP29,SG
IN1720200089,NSE:651HP30,840,651HP30,SG
IN1920200350,NSE:64KA30B,843,64KA30B,SG
IN1520200180,NSE:64GJ30A,846,64GJ30A,SG
INE702Y01013,NSE:SMVD,847,SMVD,SM
IN3320200154,NSE:642UP30,849,642UP30,SG
IN1420200165,NSE:642GA30,852,642GA30,SG
IN3620200060,NSE:644UK30,853,644UK30,SG
IN2920200457,NSE:645RJ30,855,645RJ30,SG
INE041A01016,NSE:DHAMPURSUG,857,DHAMPURSUG,EQ
IN3220200023,NSE:655TR30,858,655TR30,SG
IN1920200368,NSE:648KA31,861,648KA31,SG
IN0020170158,NSE:SGBDEC2513,862,SGBDEC2513,GB
IN1020200433,NSE:655AP33,864,655AP33,SG
IN1620200114,NSE:672HR35,867,672HR35,SG
IN1020200441,NSE:677AP38,876,677AP38,SG
IN2820200136,NSE:676PN40,877,676PN40,SG
IN4520200192,NSE:678TS50,878,678TS50,SG
INE646X01014,NSE:ASTRON,880,ASTRON,BE
INE089A01023,NSE:DRREDDY,881,DRREDDY,EQ
INE745B01028,NSE:KHAICHEM,896,KHAICHEM,EQ
INE066A01021,NSE:EICHERMOT,910,EICHERMOT,EQ
INE063P01018,NSE:EQUITASBNK,913,EQUITASBNK,EQ
INE126A01031,NSE:EIDPARRY,916,EIDPARRY,EQ
INE230A01023,NSE:EIHOTEL,919,EIHOTEL,EQ
INE191A01027,NSE:ORCHPHARMA,926,ORCHPHARMA,EQ
INE086A01029,NSE:ELECTCAST,928,ELECTCAST,EQ
INE266Y01019,NSE:DPABHUSHAN,936,DPABHUSHAN,EQ
INE285A01027,NSE:ELGIEQUIP,937,ELGIEQUIP,EQ
INE199A01012,NSE:PGHL,940,PGHL,EQ
IN0020170166,NSE:SGBJAN26,945,SGBJAN26,GB
IN0020200245,NSE:622GS2035,953,622GS2035,GS
INE284A01012,NSE:ESABINDIA,955,ESABINDIA,EQ
IN0020200252,NSE:667GS2050,956,667GS2050,GS
INE042A01014,NSE:ESCORTS,958,ESCORTS,EQ
INE754A01055,NSE:SUBEXLTD,967,SUBEXLTD,EQ
IN2920200465,NSE:675RJ30,969,675RJ30,SG
IN3520200053,NSE:535CG25,971,535CG25,SG
IN1920200376,NSE:64KA30C,972,64KA30C,SG
IN2220200298,NSE:64MH30,973,64MH30,SG
IN1020200458,NSE:643AP30,976,643AP30,SG
INE255A01020,NSE:EPL,981,EPL,EQ
IN1520200198,NSE:646GJ30,982,646GJ30,SG
IN1220200118,NSE:648AS30,985,648AS30,SG
IN2520200055,NSE:648MZ30,988,648MZ30,SG
IN2620200054,NSE:65NL30,991,65NL30,SG
INE295A01018,NSE:EVERESTIND,993,EVERESTIND,EQ
IN3820200043,NSE:652PY30,994,652PY30,SG
IN3320200162,NSE:659UP30,997,659UP30,SG
INE022C01012,NSE:EUROTEXIND,999,EUROTEXIND,EQ
IN2220200306,NSE:656MH32,1000,656MH32,SG
INE721A07NX5,NSE:94SFL28,1001,94SFL28,YL
IN1020200466,NSE:679AP34,1004,679AP34,SG
IN1920200384,NSE:675KA35,1006,675KA35,SG
IN2820200144,NSE:679PN35,1007,679PN35,SG
INE188A01015,NSE:FACT,1008,FACT,EQ
IN4920200107,NSE:68JK35,1009,68JK35,SG
INE513A01022,NSE:SCHAEFFLER,1011,SCHAEFFLER,EQ
IN2120200208,NSE:676MP40,1012,676MP40,SG
IN3420200146,NSE:688WB40,1015,688WB40,SG
IN4520200200,NSE:68TS50,1018,68TS50,SG
INE171A01029,NSE:FEDERALBNK,1023,FEDERALBNK,EQ
INE721Z01010,NSE:AARON,1030,AARON,EQ
INE235A01022,NSE:FINCABLES,1038,FINCABLES,EQ
INE183A01024,NSE:FINPIPE,1041,FINPIPE,EQ
INF846K01X63,NSE:AXISBNKETF,1044,AXISBNKETF,EQ
INE516A01017,NSE:UFLEX,1053,UFLEX,EQ
IN0020200278,NSE:515GS2025,1054,515GS2025,GS
IN1320200091,NSE:512BR24,1071,512BR24,SG
INE519A01011,NSE:FOSECOIND,1073,FOSECOIND,EQ
IN1420200173,NSE:655GA30,1074,655GA30,SG
IN1520200206,NSE:65GJ30,1075,65GJ30,SG
INE520A01027,NSE:ZENSARTECH,1076,ZENSARTECH,EQ
IN1620200122,NSE:659HR30,1077,659HR30,SG
IN1920200392,NSE:647KA30,1080,647KA30,SG
IN2920200473,NSE:661RJ30,1083,661RJ30,SG
IN3020200033,NSE:66SK30,1084,66SK30,SG
INE524A01029,NSE:GABRIEL,1085,GABRIEL,EQ
IN3320200170,NSE:66UP30,1086,66UP30,SG
IN2520200063,NSE:684MZ34,1090,684MZ34,SG
IN1920200400,NSE:675KA34,1092,675KA34,SG
IN2120200216,NSE:679MP40,1095,679MP40,SG
IN4520200218,NSE:68TS50A,1098,68TS50A,SG
INE276A01018,NSE:GARFIBRES,1100,GARFIBRES,EQ
INE688Y01022,NSE:DANGEE,1110,DANGEE,EQ
INE539A01019,NSE:GHCL,1127,GHCL,EQ
INE713T01028,NSE:APOLLO,1134,APOLLO,EQ
INE586X01012,NSE:GTECJAINX,1135,GTECJAINX,BE
INE289B01019,NSE:GICHSGFIN,1139,GICHSGFIN,EQ
INE424C01010,NSE:GINNIFILA,1142,GINNIFILA,EQ
INF204KB18W4,NSE:SDL24BEES,1143,SDL24BEES,EQ
INE162A01010,NSE:GIPCL,1145,GIPCL,EQ
INE159A01016,NSE:GLAXO,1153,GLAXO,EQ
IN1120200036,NSE:654AR30,1157,654AR30,SG
IN1920200418,NSE:649KA30A,1158,649KA30A,SG
IN2920200481,NSE:654RJ30A,1160,654RJ30A,SG
INE043A01012,NSE:GTL,1162,GTL,EQ
IN1220200142,NSE:66AS30,1163,66AS30,SG
INE619B01017,NSE:NEWGEN,1164,NEWGEN,EQ
IN2820200151,NSE:66PN30,1165,66PN30,SG
IN1920200426,NSE:672KA33,1166,672KA33,SG
INE075D01018,NSE:GMBREW,1168,GMBREW,EQ
IN3420200153,NSE:678WB35,1169,678WB35,SG
IN3220200031,NSE:681TR35,1172,681TR35,SG
INE113A01013,NSE:GNFC,1174,GNFC,EQ
INE260B01028,NSE:GODFRYPHLP,1181,GODFRYPHLP,EQ
INE371P01015,NSE:AMBER,1185,AMBER,EQ
INE068V01023,NSE:GLAND,1186,GLAND,EQ
INE529A01010,NSE:FMGOETZE,1190,FMGOETZE,EQ
INE531A01024,NSE:KANSAINER,1196,KANSAINER,EQ
INF769K01GS9,NSE:ESG,1200,ESG,EQ
IN1320200109,NSE:53BR25,1207,53BR25,SG
IN3520200061,NSE:532CG25,1209,532CG25,SG
IN1220200159,NSE:532AS25,1210,532AS25,SG
IN2220200314,NSE:635MH28,1212,635MH28,SG
INE393A01011,NSE:DELTAMAGNT,1214,DELTAMAGNT,EQ
IN1720200097,NSE:653HP29,1215,653HP29,SG
INE546Y01022,NSE:PRAXIS,1216,PRAXIS,BE
IN1720200105,NSE:66HP30,1221,66HP30,SG
IN1920200434,NSE:65KA30A,1227,65KA30A,SG
INE880Y01017,NSE:SOLEX,1231,SOLEX,SM
INE047A01021,NSE:GRASIM,1232,GRASIM,EQ
IN1520200214,NSE:65GJ30A,1233,65GJ30A,SG
INE224A01026,NSE:GREAVESCOT,1235,GREAVESCOT,EQ
IN2220200322,NSE:652MH30,1236,652MH30,SG
IN1420200181,NSE:657GA30,1237,657GA30,SG
IN3320200188,NSE:658UP30,1239,658UP30,SG
IN2920200499,NSE:659RJ30A,1241,659RJ30A,SG
IN1220200167,NSE:664AS30,1246,664AS30,SG
INE026A01025,NSE:GSFC,1247,GSFC,EQ
IN1920200442,NSE:666KA32,1248,666KA32,SG
INE172A01027,NSE:CASTROLIND,1250,CASTROLIND,EQ
IN2220200330,NSE:667MH32,1251,667MH32,SG
IN4920200115,NSE:67JK32,1253,67JK32,SG
IN3120200313,NSE:673TN40,1254,673TN40,SG
IN4520200226,NSE:673TS50,1256,673TS50,SG
INE186A01019,NSE:GUJALKALI,1267,GUJALKALI,EQ
INE079A01024,NSE:AMBUJACEM,1270,AMBUJACEM,EQ
INE068Z01016,NSE:VASA,1276,VASA,ST
INE538A01037,NSE:GFLLIMITED,1289,GFLLIMITED,EQ
INE544A01019,NSE:HARRMALAYA,1313,HARRMALAYA,EQ
INE600K01018,NSE:GALAXYSURF,1315,GALAXYSURF,EQ
INE236A01020,NSE:HCL,1327,HCL-INSYS,INSYS-EQ
INE040A01034,NSE:HDFCBANK,1333,HDFCBANK,EQ
INE01JE01028,NSE:MARINE,1334,MARINE,BE
INE545A01016,NSE:HEG,1336,HEG,EQ
INE480C01038,NSE:SDBL,1338,SDBL,EQ
IN0020200294,NSE:585GS2030,1341,585GS2030,GS
IN0020200286,NSE:SGBN28VIII,1342,SGBN28VIII,GB
INE158A01026,NSE:HEROMOTOCO,1348,HEROMOTOCO,EQ
INE749Y01014,NSE:AMJUMBO,1353,AMJUMBO,SM
INE049A01027,NSE:HIMATSEIDE,1360,HIMATSEIDE,EQ
IN2020200225,NSE:622KL27,1361,622KL27,SG
IN1020200474,NSE:64AP28,1362,64AP28,SG
INE038A01020,NSE:HINDALCO,1363,HINDALCO,EQ
IN1520200222,NSE:649GJ29,1364,649GJ29,SG
IN1920200459,NSE:653KA30,1365,653KA30,SG
IN2320200065,NSE:66MN30,1368,66MN30,SG
IN2920200507,NSE:662RJ30,1369,662RJ30,SG
INE310C01029,NSE:HINDCOMPOS,1372,HINDCOMPOS,EQ
IN4920200123,NSE:665JK30,1373,665JK30,SG
INE549A01026,NSE:HCC,1375,HCC,EQ
IN3720200036,NSE:668JH32,1376,668JH32,SG
IN1020200482,NSE:668AP33,1378,668AP33,SG
IN1920200467,NSE:669KA37,1379,669KA37,SG
INE202E07120,NSE:855IREDA29,1380,855IREDA29,N2
IN2820200169,NSE:673PN40,1382,673PN40,SG
INE202E07146,NSE:855IREDA34,1383,855IREDA34,N3
IN4520200234,NSE:674TS50,1386,674TS50,SG
INE202E07138,NSE:880IREDA29,1391,880IREDA29,N5
INE202E07153,NSE:880IREDA34,1393,880IREDA34,N6
INE030A01027,NSE:HINDUNILVR,1394,HINDUNILVR,EQ
INE319Z01021,NSE:SUPREMEENG,1401,SUPREMEENG,BE
INE345A01011,NSE:HINDOILEXP,1403,HINDOILEXP,EQ
INE094A01015,NSE:HINDPETRO,1406,HINDPETRO,EQ
INE415A01038,NSE:AGI,1412,AGI,EQ
INE291W01029,NSE:GLOBAL,1415,GLOBAL,EQ
IN2920200515,NSE:66RJ30B,1422,66RJ30B,SG
INE267A01025,NSE:HINDZINC,1424,HINDZINC,EQ
IN1220200175,NSE:662AS30,1425,662AS30,SG
INE450S01011,NSE:MHHL,1426,MHHL,SM
IN2620200062,NSE:662NL30,1428,662NL30,SG
IN2520200071,NSE:668MZ31,1430,668MZ31,SG
IN1020200490,NSE:668AP35A,1432,668AP35A,SG
IN1920200483,NSE:668KA36,1437,668KA36,SG
INE058A01010,NSE:SANOFI,1442,SANOFI,EQ
IN3420200161,NSE:671WB40,1443,671WB40,SG
IN4520200242,NSE:671TS40,1446,671TS40,SG
INE102A01024,NSE:HLVLTD,1448,HLVLTD,EQ
IN3520200079,NSE:593CG26,1449,593CG26,SG
IN1920200475,NSE:654KA30,1453,654KA30,SG
IN1420200199,NSE:655GA30A,1454,655GA30A,SG
INE557A01011,NSE:HIL,1455,HIL,EQ
INE133A01011,NSE:AKZOINDIA,1467,AKZOINDIA,EQ
INE648Z01023,NSE:ACCURACY,1472,ACCURACY,BE
INE008A01015,NSE:IDBI,1476,IDBI,EQ
INE364Z01019,NSE:REPL,1480,REPL,EQ
INE559A01017,NSE:IFBIND,1485,IFBIND,EQ
INE039A01010,NSE:IFCI,1491,IFCI,EQ
INE07T201019,NSE:RBA,1494,RBA,EQ
INE644Y01017,NSE:SHIVAMILLS,1497,SHIVAMILLS,EQ
INF247L01AK4,NSE:MOGSEC,1507,MOGSEC,EQ
INE914M01019,NSE:ASTERDM,1508,ASTERDM,EQ
INE053A01029,NSE:INDHOTEL,1512,INDHOTEL,EQ
IN2920200523,NSE:535RJ25,1513,535RJ25,SG
INE383A01012,NSE:INDIACEM,1515,INDIACEM,EQ
IN1420200207,NSE:654GA30A,1516,654GA30A,SG
INE560A01015,NSE:INDIAGLYCO,1521,INDIAGLYCO,EQ
IN1920200491,NSE:652KA30,1522,652KA30,SG
IN3320200196,NSE:656UP30,1525,656UP30,SG
IN2420200072,NSE:66ML30,1528,66ML30,SG
INE323C01030,NSE:INDIANHUME,1530,INDIANHUME,EQ
IN1920200509,NSE:665KA35,1531,665KA35,SG
IN3420200179,NSE:668WB35,1532,668WB35,SG
IN4520200259,NSE:667TS50,1535,667TS50,SG
INE786W01010,NSE:RKEC,1553,RKEC,BE
INE09E501017,NSE:RVHL,1565,RVHL,EQ
INE541A01023,NSE:GMMPFAUDLR,1570,GMMPFAUDLR,EQ
